sample,patient,null,component,n_original_centers,max_z,p_scan_section,p_scan_three_sections,n_centers_scan_p_le_005,best_center_cell_id,x_um,y_um
NCBI785,P07,global,0,40,9.57756253795405,0.0005,0.0015,17,2951,836.0680725097656,4454.920141601562
NCBI785,P07,global,1,16,5.969147346372439,0.1205,0.3615,0,7074,2807.928515625,1691.311260986328
NCBI785,P07,global,2,1,4.789374986693734,0.7825,1.0,0,16212,291.1569839477539,659.7465087890624
NCBI785,P07,global,3,1,4.802767251472346,0.7755,1.0,0,22485,307.11925659179684,1210.539453125
NCBI785,P07,global,4,47,9.351142513372231,0.0005,0.0015,23,30507,356.1500259399414,3074.1011596679687
NCBI785,P07,global,5,29,6.58537470818053,0.038,0.11399999999999999,0,35017,434.97725372314454,3978.5964111328126
NCBI785,P07,global,6,10,5.969147346372439,0.1205,0.3615,0,36089,299.670083618164,3539.2551513671874
NCBI785,P07,global,7,18,6.735152960199261,0.0265,0.0795,0,35635,163.4706573486328,3810.40556640625
NCBI785,P07,global,8,6,5.722367132386575,0.2085,0.6255,0,48031,1538.7126037597657,1350.7967163085937
NCBI785,P07,global,9,54,9.805029970647112,0.0005,0.0015,35,50641,1151.9668579101562,1142.9414184570312
NCBI785,P07,global,10,1,5.111253816390638,0.5675,1.0,0,50373,906.7411315917968,1672.7358764648436
NCBI785,P07,global,11,1,4.7317205454310844,0.811,1.0,0,84988,2873.9402709960937,376.03688201904293
NCBI785,P07,technical,0,40,4.408825496988092,0.972,1.0,0,2951,836.0680725097656,4454.920141601562
NCBI785,P07,technical,1,16,3.534518343088885,1.0,1.0,0,7074,2807.928515625,1691.311260986328
NCBI785,P07,technical,2,1,3.7776297063633324,1.0,1.0,0,16212,291.1569839477539,659.7465087890624
NCBI785,P07,technical,3,1,1.6449634379949867,1.0,1.0,0,22485,307.11925659179684,1210.539453125
NCBI785,P07,technical,4,47,4.706077238221123,0.8865,1.0,0,31545,373.4680236816406,3078.3760620117187
NCBI785,P07,technical,5,29,2.6531691641640776,1.0,1.0,0,35017,434.97725372314454,3978.5964111328126
NCBI785,P07,technical,6,10,3.084643117617614,1.0,1.0,0,35095,294.64598388671874,3651.890942382812
NCBI785,P07,technical,7,18,3.2143540860981674,1.0,1.0,0,35635,163.4706573486328,3810.40556640625
NCBI785,P07,technical,8,6,3.5612556268463376,1.0,1.0,0,48031,1538.7126037597657,1350.7967163085937
NCBI785,P07,technical,9,54,5.708828743484371,0.279,0.8370000000000001,0,50641,1151.9668579101562,1142.9414184570312
NCBI785,P07,technical,10,1,3.0395850792842016,1.0,1.0,0,50373,906.7411315917968,1672.7358764648436
NCBI785,P07,technical,11,1,3.6413704920858874,1.0,1.0,0,84988,2873.9402709960937,376.03688201904293
NCBI785,P07,context,0,40,3.3382681685221676,1.0,1.0,0,2951,836.0680725097656,4454.920141601562
NCBI785,P07,context,1,16,2.5926589654020114,1.0,1.0,0,7074,2807.928515625,1691.311260986328
NCBI785,P07,context,2,1,2.968179639266087,1.0,1.0,0,16212,291.1569839477539,659.7465087890624
NCBI785,P07,context,3,1,1.630692154866408,1.0,1.0,0,22485,307.11925659179684,1210.539453125
NCBI785,P07,context,4,47,3.750572952433785,1.0,1.0,0,30507,356.1500259399414,3074.1011596679687
NCBI785,P07,context,5,29,1.8266127019697853,1.0,1.0,0,35017,434.97725372314454,3978.5964111328126
NCBI785,P07,context,6,10,2.3704340831861463,1.0,1.0,0,35095,294.64598388671874,3651.890942382812
NCBI785,P07,context,7,18,2.2778952742798833,1.0,1.0,0,35635,163.4706573486328,3810.40556640625
NCBI785,P07,context,8,6,2.8307303825818977,1.0,1.0,0,48031,1538.7126037597657,1350.7967163085937
NCBI785,P07,context,9,54,4.880840788223525,0.7845,1.0,0,50641,1151.9668579101562,1142.9414184570312
NCBI785,P07,context,10,1,3.6001606112764897,1.0,1.0,0,50373,906.7411315917968,1672.7358764648436
NCBI785,P07,context,11,1,3.7639250746957997,1.0,1.0,0,84988,2873.9402709960937,376.03688201904293
